Name,Image_URL,Price,URL
Dominator 440EC...,https://farmpays.com/wp-content/uploads/2022/06/2455171b6f154db6b6273a3c61abee87_1599625789255__1_-removebg-preview-1-409x450.png,"₦6,500.00",https://farmpays.com/product/dominator-440ec-agricultural-insecticide/?attribute_size=500ml
Dominator 440EC...,https://farmpays.com/wp-content/uploads/2022/06/2455171b6f154db6b6273a3c61abee87_1599625789255__1_-removebg-preview-1-409x450.png,"₦90,000.00",https://farmpays.com/product/irrigation-rain-gun-30m-40m-50m-spray-radius/?attribute_spray-radius=50m
Dominator 440EC...,https://farmpays.com/wp-content/uploads/2022/06/2455171b6f154db6b6273a3c61abee87_1599625789255__1_-removebg-preview-1-409x450.png,"₦75,350.00",https://farmpays.com/product/irrigation-rain-gun-30m-40m-50m-spray-radius/?attribute_spray-radius=40m
Irrigation Rain...,https://farmpays.com/wp-content/uploads/2022/04/WhatsApp-Image-2020-09-03-at-11.55.41-removebg-preview-450x433.png,"₦68,000.00",https://farmpays.com/product/irrigation-rain-gun-30m-40m-50m-spray-radius/?attribute_spray-radius=30m
Irrigation Rain...,https://farmpays.com/wp-content/uploads/2022/04/WhatsApp-Image-2020-09-03-at-11.55.41-removebg-preview-450x433.png,"₦1,875.00",https://farmpays.com/product/twig/
Irrigation Rain...,https://farmpays.com/wp-content/uploads/2022/04/WhatsApp-Image-2020-09-03-at-11.55.41-removebg-preview-450x433.png,"₦4,362.50",https://farmpays.com/product/boostract-bio-stimulant-seaweed-extract-200ml/
TWIG,https://farmpays.com/wp-content/uploads/2022/10/WhatsApp-Image-2022-10-06-at-6.20.58-PM-1.jpeg,"₦5,000.00",https://farmpays.com/product/green-force-250g/
Boostract (Bio-...,https://farmpays.com/wp-content/uploads/2022/08/IMG-20201124-WA0020-450x450.webp,"₦8,750.00",https://farmpays.com/product/controlphyt-cu-liquid-copper-systemic-1l/
Green Force,https://farmpays.com/wp-content/uploads/2022/08/27b168ca-713d-450d-ad31-551349d0262c-450x450.jpg,"₦2,500.00",https://farmpays.com/product/c-maxi-force-fertilizer-foliar-applied-500ml/
Controlphyt Cu ...,https://farmpays.com/wp-content/uploads/2022/07/Controlphyt-Cu-189x300-1.jpg,"₦10,250.00",https://farmpays.com/product/zeropest-ga-biological-control-for-insects/
C-Maxi Force Fe...,https://farmpays.com/wp-content/uploads/2022/07/C-Maxi-Force-450x450.jpg,"₦6,998.75",https://farmpays.com/product/renova-insecticide-5g-sachets/
Zeropest GA Bio...,https://farmpays.com/wp-content/uploads/2022/07/image-7-450x450.jpg,"₦9,499.00",https://farmpays.com/product/darina-f1-hybrid-cucumber-seeds-10g/
Renova Insectic...,https://farmpays.com/wp-content/uploads/2022/07/7fBPXlRDgQGLrMdlBzhFSPp9z7SVc6aeV8amr8NU-450x450.jpeg,"₦1,900.00",https://farmpays.com/product/cover-force-stimulator-5ml/
Darina F1 (Hybr...,https://farmpays.com/wp-content/uploads/2022/07/WhatsApp-Image-2022-01-19-at-1.29.59-PM-450x450.jpeg,"₦37,498.75",https://farmpays.com/product/velum-prime-agricultural-nematicide/
Cover Force Sti...,https://farmpays.com/wp-content/uploads/2022/07/cover-force-768x1024-1-450x450.jpg,"₦8,937.50",https://farmpays.com/product/cranstan-spectrum-herbicide-250ml/
Velum Prime Agr...,https://farmpays.com/wp-content/uploads/2022/06/velum-removebg-preview.png,"₦3,748.75",https://farmpays.com/product/abamet-18-ec-insecticide-abamectin/
Cranstan Spectr...,https://farmpays.com/wp-content/uploads/2022/06/CRANSTAN-SPECTRUM-250ml-scaled-1-450x450.jpg,"₦3,000.00",https://farmpays.com/product/soya-beans-for-planting-2kg-packs/
Abamet 18 EC In...,https://farmpays.com/wp-content/uploads/2022/06/2eed7ba7a5bc5d2e7f1323f050a70377-219x450.png,"₦5,500.00",https://farmpays.com/product/touchon-carrot-seeds-hybrid-100g/
Soya Beans for ...,https://farmpays.com/wp-content/uploads/2022/05/WhatsApp-Image-2021-06-18-at-10.49.34-450x450.jpeg,"₦8,748.75",https://farmpays.com/product/worm-force-insecticide-systemic/
TouchOn Carrot ...,https://farmpays.com/wp-content/uploads/2022/05/images-removebg-preview.png,"₦3,125.00",https://farmpays.com/product/sun-paraquat-200sl/
