Name,Image_URL,Price,URL
King Humus Plus (Organic Soil Conditioner and Growth Stimulant | 100g Sachets),https://afrimash.com/wp-content/uploads/2020/08/king-humus-1024x683.jpg,"₦4,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/caterpillar-force-non-systemic-insecticide-100g-100pcs-per-ctn/
Ultimax Plus (Systemic Fungicide | 50g Sachets),https://afrimash.com/wp-content/uploads/2020/08/ultimax-plus-1024x683-1.jpg,"₦5,999.99",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/paraeforce-herbicide-1liter-12pcs-per-carton/
Irrigation Spray Tube (2-3 Inches Diameter | 100-150m Length),https://afrimash.com/wp-content/uploads/2020/06/irrigation-spray-tube-original_11zon.jpeg,"₦1,850.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/red-force-fungicide-50g-sachets-per-pack/
Force Top Herbicide (Pendimethalin 33%EC | 1Ltr),https://afrimash.com/wp-content/uploads/2020/04/IMG-20200422-WA0001-599x800.jpg,"₦6,850.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/tomato-seeds-uc82b-100g-20pcs-per-carton/
Plastic Water Tank For Poultry Pen/Battery Cage (25 Litres),https://afrimash.com/wp-content/uploads/2020/04/wanda-1-150x150-1.jpg,"₦17,500.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/fertilizers/d-i-grow-organic-foliar-liquid-fertilizer-1-litre/
Caterpillar Force (Non-Systemic Insecticide | 100g | 100pcs per ctn),https://afrimash.com/wp-content/uploads/2020/04/caterpillar-force-1024x1024.png,"₦59,999.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/jacto-20l-16l-knapsack-sprayer-pjh-model/
Paraeforce (Herbicide | 1liter | 12pcs per Carton),https://afrimash.com/wp-content/uploads/2020/04/herbicide-3-824x1024.jpg,"₦3,000.00",https://afrimash.com/shop/livestock-section/book/livestock-ebooks/organic-poultry-production-manual-birds-and-eggs-production-57-pages/
Red Force (Fungicide | 50g Sachets per Pack),https://afrimash.com/wp-content/uploads/2020/04/Agromint-Red-Force-1-scaled-797x800.jpg,"₦15,999.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/high-quality-knapsack-sprayer-16-liitres/
Tomato Seeds (UC82B | 100g ),https://afrimash.com/wp-content/uploads/2020/04/11zon_resized.jpg,"₦129,999.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/farm-machinery-equipment-agricultural-equipment/farm-machinery-equipment/knapsack-sprayers/motorised-knapsack-power-sprayer-15l/
D.I. Grow Organic Foliar Liquid Fertilizer (1 Litre),https://afrimash.com/wp-content/uploads/2020/01/d.i.-grow-1024x1024.jpg,"₦65,000.00",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/2-in-1-rechargeable-hand-battery-powered-knapsack-sprayer-16l/
JACTO Knapsack sprayers| 20L | 16L | (PJH Model),https://afrimash.com/wp-content/uploads/2020/01/knapsack-sprayer-800x800.jpg,"₦12,300.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/insecticide/dd-force-1-litre-insecticide/
