Name,Image_URL,Price,URL
CONTINENTAL SEE...,https://farmpays.com/wp-content/uploads/2020/12/Great-Select-CS.-Lettuce-450x450.jpg,"₦7,000.00",https://farmpays.com/product/coco-peat-washed-buffered/
CONTINENTA MAXI...,https://farmpays.com/wp-content/uploads/2020/12/52ee1769-bb3a-44c6-be61-043d43defd5f-570x888-1-450x450.jpg,"₦13,800.00",https://farmpays.com/product/gloria-star-f1-cabbage-seeds/
CONTINENTA MAXI...,https://farmpays.com/wp-content/uploads/2020/12/52ee1769-bb3a-44c6-be61-043d43defd5f-570x888-1-450x450.jpg,"₦48,750.00",https://farmpays.com/product/calcium-nitrate-euro-25kg/
Ashley-Cucumber...,https://farmpays.com/wp-content/uploads/2020/12/6d32460b-0e15-4053-b701-bb52489ed730-450x450.jpg,"₦68,000.00",https://farmpays.com/product/cp15-evolution-knapsack-sprayer/?attribute_type=Confort
Coco Peat (Wash...,https://farmpays.com/wp-content/uploads/2020/12/6-450x450.jpeg,"₦70,000.00",https://farmpays.com/product/cp15-evolution-knapsack-sprayer/?attribute_type=Standard
Gloria Star F1 ...,https://farmpays.com/wp-content/uploads/2020/12/gloria-star-f1-removebg-preview-450x408.png,"₦3,375.00",https://farmpays.com/product/bormical/
CALCIUM NITRATE...,https://farmpays.com/wp-content/uploads/2020/12/IMG_20201006_094845_370_1601992332894-600x726-1-450x450.jpg,"₦10,000.00",https://farmpays.com/product/boost-xtra-1ltr/
CP15 Evolution ...,https://farmpays.com/wp-content/uploads/2020/12/CP-15-Evolution-Confort.jpg,"₦16,000.00",https://farmpays.com/product/belt-expert/
CP15 Evolution ...,https://farmpays.com/wp-content/uploads/2020/12/CP-15-Evolution-Confort.jpg,"₦7,000.00",https://farmpays.com/product/baker-brother-tomato/
BORMICAL,https://farmpays.com/wp-content/uploads/2020/12/download-2023-09-22T071507.709.jpg,"₦7,000.00",https://farmpays.com/product/cucumber-super-green-f1-seed-100g-baker-brother/
BOOST XTRA 1LTR,https://farmpays.com/wp-content/uploads/2020/12/Boot-extra-1L-scaled-1-450x450.jpg,"₦15,000.00",https://farmpays.com/product/argeto-elvan-f1-500seeds/
BELT EXPERT,https://farmpays.com/wp-content/uploads/2020/12/IMG_20201006_121032_459_1601984851584_1601984988030-300x300-1.jpg,"₦4,500.00",https://farmpays.com/product/agrovert/?attribute_size=1KG
BAKER BROTHER T...,https://farmpays.com/wp-content/uploads/2020/12/TOMATO-TROPIMECH-100G-BAKER-BROTHER-scaled-1-450x450.jpg,"₦44,000.00",https://farmpays.com/product/agrovert/?attribute_size=25KG
CUCUMBER SUPER ...,https://farmpays.com/wp-content/uploads/2020/12/CUCUMBER-MARKETER-SEED-100G-BAKER-BROTHER-scaled-1-450x450.jpg,"₦6,250.00",https://farmpays.com/product/agrolizer-250ml/
ARGETO ELVAN F1...,https://farmpays.com/wp-content/uploads/2020/12/AnyConv.com__11323149_20200310133210_jpegfc1aa919a1f40ceeadd85f16c99365b2-450x450.jpg,"₦2,000.00",https://farmpays.com/product/actara-insecticide-syngenta/?attribute_size=Powder
AGROVERT - 1KG,https://farmpays.com/wp-content/uploads/2020/12/IMG_20201006_120342_625_1601988690111-600x615-1-450x450.jpg,"₦16,000.00",https://farmpays.com/product/actara-insecticide-syngenta/?attribute_size=Litter
AGROVERT - 25KG,https://farmpays.com/wp-content/uploads/2020/12/IMG_20201006_120342_625_1601988690111-600x615-1-450x450.jpg,"₦43,890.00",https://farmpays.com/product/knapsack-sprayer-2-in-1-rechargeable-handheld/
AGROLIZER 250ML,https://farmpays.com/wp-content/uploads/2020/12/product-500x500-1.jpeg,"₦89,775.00",https://farmpays.com/product/drip-tape-for-drip-irrigation-1500m-roll/
Actara Insectic...,https://farmpays.com/wp-content/uploads/2020/12/G31A1835_800x-2.jpg,₦300.00,https://farmpays.com/product/hybrid-banana-sucker/
Actara Insectic...,https://farmpays.com/wp-content/uploads/2020/12/G31A1835_800x-2.jpg,"₦1,000.00",https://farmpays.com/product/hybrid-oil-palm-seedlings-tenera-varieties/
Knapsack spraye...,https://farmpays.com/wp-content/uploads/2020/12/Knapsack-sideview-scaled-1-450x450.jpg,₦800.00,https://farmpays.com/product/hybrid-cashew-seedlings/
Drip Tape (For ...,https://farmpays.com/wp-content/uploads/2020/12/drip-450x450.jpeg,"₦13,750.00",https://farmpays.com/product/alion-herbicide100ml/
Hybrid Banana S...,https://farmpays.com/wp-content/uploads/2020/08/farmpays-banana-sucker-450x450.jpg,"₦22,000.00",https://farmpays.com/product/metaforce-herbicide/
Hybrid Oil Palm...,https://farmpays.com/wp-content/uploads/2020/08/oil-palm-seedlings3-scaled-1-450x450.jpg,"₦21,000.00",https://farmpays.com/product/albasa-force-herbicide-post-emergence/
Hybrid Cashew S...,https://farmpays.com/wp-content/uploads/2020/08/farmpays-cashew-seedling-450x450.jpg,"₦11,000.00",https://farmpays.com/product/raptor-herbicide/
Alion Herbicide...,https://farmpays.com/wp-content/uploads/2022/07/Alion11zon_cropped-600x786-1-450x450.jpg,"₦13,112.50",https://farmpays.com/product/killer-force-herbicide-post-emergence/
MetaForce Herbi...,https://farmpays.com/wp-content/uploads/2022/07/Meta-Force.webp,"₦18,000.00",https://farmpays.com/product/powdered-force-uron-herbicide-1-litre/
Albasa Force He...,https://farmpays.com/wp-content/uploads/2022/07/albasaforce_11zon.jpg,"₦8,750.00",https://farmpays.com/product/target-herbicide/
Raptor Herbicid...,https://farmpays.com/wp-content/uploads/2022/07/image-10-461x1024-1-450x450.png,"₦8,125.00",https://farmpays.com/product/agriforce-herbicide/
killer Force He...,https://farmpays.com/wp-content/uploads/2022/07/killerforce-450x450.jpeg,"₦11,700.00",https://farmpays.com/product/parmor-herbicide/
Powdered Force-...,https://farmpays.com/wp-content/uploads/2022/07/Force-uron-1-600x745-1-450x450.jpg,"₦8,125.00",https://farmpays.com/product/rice-force-gold-herbicide-selective-1-litre/
TARGET HERBICID...,https://farmpays.com/wp-content/uploads/2022/07/TARGET_11zon-450x450.jpg,"₦8,750.00",https://farmpays.com/product/propaforce-herbicide/
AgriForce Herbi...,https://farmpays.com/wp-content/uploads/2022/07/AGRI-FORCE-450x450.jpg,"₦11,900.00",https://farmpays.com/product/select-herbicide/
Parmor Herbicid...,https://farmpays.com/wp-content/uploads/2022/07/WhatsApp-Image-2020-09-16-at-21.52.40-768x1024-1-450x450.jpeg,"₦11,743.75",https://farmpays.com/product/relisate-herbicide-total-weedicide-1l/
Rice Force Gold...,https://farmpays.com/wp-content/uploads/2022/07/rice-force.jpg,"₦8,900.00",https://farmpays.com/product/gobara-herbicide-saro-brand-1-liter/
PropaForce Herb...,https://farmpays.com/wp-content/uploads/2022/07/Propaforce-1-400x400-1.jpg,"₦9,000.00",https://farmpays.com/product/knockdown-herbicide-glyphosate-41-sl-1l/
Select Herbicid...,https://farmpays.com/wp-content/uploads/2022/07/select1-1-450x450.jpg,"₦5,400.00",https://farmpays.com/product/tackle-total-systemic-herbicide-1-liter/
Relisate Herbic...,https://farmpays.com/wp-content/uploads/2022/07/IMG-20200715-WA0001-348x348-1.jpg,"₦10,200.00",https://farmpays.com/product/united-force-herbicide/
Gobara Herbicid...,https://farmpays.com/wp-content/uploads/2022/07/Gobara-1-450x450.jpg,"₦4,375.00",https://farmpays.com/product/paraval-herbicide-paraquat-1litre/
Knockdown Herbi...,https://farmpays.com/wp-content/uploads/2022/07/IMG-20200420-WA0033-450x450.jpg,"₦10,400.00",https://farmpays.com/product/weedlezz-herbicide/
Tackle (Total S...,https://farmpays.com/wp-content/uploads/2022/07/tackle-450x450.jpg,"₦10,400.00",https://farmpays.com/product/soil-force-herbicide-ec/
United Force He...,https://farmpays.com/wp-content/uploads/2022/07/United-force.jpg,"₦10,400.00",https://farmpays.com/product/nicolas-selective-herbicide/
Paraval Herbici...,https://farmpays.com/wp-content/uploads/2022/06/Paraval-removebg-preview-450x450.png,"₦8,450.00",https://farmpays.com/product/lifeline-herbicide/
Weedlezz Herbic...,https://farmpays.com/wp-content/uploads/2022/06/imgonline-com-ua-resize-sbzfjACutk4-450x450.jpg,"₦10,600.00",https://farmpays.com/product/dragon-herbicide-paraquat/
Soil Force Herb...,https://farmpays.com/wp-content/uploads/2022/06/IMG_20210930_135843_713-removebg-preview-433x450.png,"₦13,600.00",https://farmpays.com/product/day-one-herbicide-paraquat-dichloride/
Nicolas Selecti...,https://farmpays.com/wp-content/uploads/2022/06/599e25fac17a4418a3cd075807c09e68_1600492001818-removebg-preview-433x450.png,"₦8,937.50",https://farmpays.com/product/cranstan-spectrum-herbicide-250ml/
Lifeline Herbic...,https://farmpays.com/wp-content/uploads/2022/06/lifeline-herbicide-450x450.jpeg,"₦10,000.00",https://farmpays.com/product/touchdown-non-selective-herbicide-1l/
